Run,Classifier,Parameters,is_fit,Acc,Precision,Recall,F1
1,SGDClassifier,"{'alpha': 1e-11, 'n_jobs': -1}",True,0.9790947837325878,0.983175278854926,0.9790947837325878,0.979058508821147
2,SGDClassifier,"{'alpha': 1e-10, 'n_jobs': -1}",True,0.9917139028632274,0.991833355032751,0.9917139028632274,0.9914974022763703
3,SGDClassifier,"{'alpha': 1e-09, 'n_jobs': -1}",True,0.9713110840121624,0.9777744037917534,0.9713110840121624,0.9699348548521465
4,SGDClassifier,"{'alpha': 1e-08, 'n_jobs': -1}",True,0.9680454553990817,0.9756238948452577,0.9680454553990817,0.9658997860187725
5,SGDClassifier,"{'alpha': 1e-07, 'n_jobs': -1}",True,0.9911493586384873,0.9913716826152406,0.9911493586384873,0.9909381232158843
6,SGDClassifier,"{'alpha': 1e-06, 'n_jobs': -1}",True,0.9916834395404802,0.9918116543605049,0.9916834395404802,0.9914676567290073
