Run,Classifier,Parameters,is_fit,Acc,Precision,Recall,F1
1,SVC,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'decision_function_shape': 'ovr'}",True,0.9897301799527213,0.7378127298894782,0.7405515561290777,0.7390480867294172
2,SVC,"{'C': 2, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'decision_function_shape': 'ovr'}",True,0.9901879669095083,0.738402700188945,0.7410069277855341,0.7395865467976854
3,SVC,"{'C': 4, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'decision_function_shape': 'ovr'}",True,0.990371090307877,0.7386398667243756,0.741171231167535,0.7397929683292058
4,SVC,"{'C': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'decision_function_shape': 'ovr'}",True,0.9906762788957539,0.7390077942947737,0.7414148640684823,0.7401039293533309
