Run,Classifier,Parameters,is_fit,Acc,Precision,Recall,F1
1,SGDClassifier,"{'alpha': 1e-11, 'n_jobs': -1}",True,0.990920431377569,0.9907312543248914,0.990920431377569,0.9906582405793685
2,SGDClassifier,"{'alpha': 1e-10, 'n_jobs': -1}",True,0.9925685454546554,0.9923220243933951,0.9925685454546554,0.992305304653655
3,SGDClassifier,"{'alpha': 1e-09, 'n_jobs': -1}",True,0.9747446968990342,0.9823377154897417,0.9747446968990342,0.9707201924839397
4,SGDClassifier,"{'alpha': 1e-08, 'n_jobs': -1}",True,0.9798434920521532,0.9916959577906941,0.9798434920521532,0.9840355940481027
5,SGDClassifier,"{'alpha': 1e-07, 'n_jobs': -1}",True,0.9764556073174571,0.9887055520311672,0.9764556073174571,0.9806680681567121
6,SGDClassifier,"{'alpha': 1e-06, 'n_jobs': -1}",True,0.9922175192618521,0.9919709001021311,0.9922175192618521,0.9919497639473749
